date,信号数,次日收涨率,可盈利卖出率,平均最大可卖收益,平均次日收盘收益,次日大盘涨跌
2026-04-24,45.0,0.4444444444444444,0.7555555555555555,0.02405656026837031,-0.0028095142061499902,0.001578470060540793
2026-04-27,71.0,0.28169014084507044,0.7323943661971831,0.018106432195099612,-0.016055447940725474,-0.001884326805894787
2026-04-28,27.0,0.5185185185185185,0.7777777777777778,0.03516741474943153,0.010672067486555803,0.0070783398387699314
2026-04-29,54.0,0.4074074074074074,0.7407407407407407,0.024953379509044932,-0.0022963580313927283,0.001132072715586796
2026-04-30,47.0,0.8723404255319149,1.0,0.0623538146472085,0.035403024093514875,0.011675129372398008
2026-05-06,113.0,0.6106194690265486,0.8938053097345132,0.038975181502097715,0.01613065785379193,0.004788265864135388
2026-05-07,235.0,0.6170212765957447,0.8382978723404255,0.03467657303327253,0.013919869611351228,-3.349210184477869e-05
2026-05-08,112.0,0.625,0.9732142857142857,0.04893192757774695,0.02138192310721727,0.010782425627100967
2026-05-11,176.0,0.32386363636363635,0.7386363636363636,0.020953281314797453,-0.006812248472285545,-0.0024922958944574303
2026-05-12,70.0,0.6142857142857143,0.8714285714285714,0.04288113292915522,0.020411784522337082,0.006662727874547025
2026-05-13,204.0,0.21568627450980393,0.8872549019607843,0.028553930309034383,-0.020999221383174324,-0.015238405023370148
2026-05-14,14.0,0.2857142857142857,1.0,0.03805329553537208,-0.010238943730638399,-0.01017970664828427
2026-05-15,21.0,0.42857142857142855,0.7142857142857143,0.03536554483242115,0.008730471938691867,-0.0009334065227223354
2026-05-18,54.0,0.5555555555555556,0.8888888888888888,0.038999325194770625,0.017939007558776542,0.00919998160487756
2026-05-19,128.0,0.46875,0.75,0.03208472602025171,0.003492463384929474,-0.0017651827299892675
2026-05-20,97.0,0.12371134020618557,0.8969072164948454,0.035287232317004556,-0.050608587537026024,-0.02039796452820397
2026-05-21,9.0,0.4444444444444444,0.8888888888888888,0.02773438920693337,-0.001005675509996282,0.00873621630106336
2026-05-22,126.0,0.5476190476190477,0.9365079365079365,0.04492800072779842,0.0137012049589174,0.009645262466872584
2026-05-25,125.0,0.2,0.616,0.014399767034499767,-0.02272903230429171,-0.0017338660155036267
2026-05-26,42.0,0.2619047619047619,0.8095238095238095,0.028908210938477112,-0.02460517052310837,-0.01245727160663579
2026-05-27,22.0,0.5,0.8636363636363636,0.0464043717266642,0.006475460308813862,0.00119939517261769
2026-05-28,70.0,0.11428571428571428,0.7,0.018171117323931354,-0.057123373775768926,-0.007336579938711396
2026-05-29,11.0,0.36363636363636365,0.6363636363636364,0.015734667670052514,-0.007469875388127792,-0.0026618689121731265
2026-06-01,19.0,0.15789473684210525,0.42105263157894735,0.003650017418642483,-0.03412131751766934,0.004278243554293848
2026-06-02,14.0,0.5,0.8571428571428571,0.054587418648170336,0.01424581325424493,0.002176633702240416
2026-06-03,24.0,0.4166666666666667,0.7083333333333334,0.027604879415678813,-0.008306218720951655,-0.0064128776656047215
2026-06-04,52.0,0.40384615384615385,0.7115384615384616,0.031193762320954103,-0.012307439541964706,-0.00740306275845426
2026-06-05,16.0,0.375,0.6875,0.02870790984772567,-0.028333856912023295,-0.016982228247106268
2026-06-08,21.0,0.3333333333333333,0.6190476190476191,0.011474015402687162,-0.01067641890457254,0.01280263882364241
2026-06-09,99.0,0.37373737373737376,0.7070707070707071,0.028629123248128698,-0.009470086705140745,-0.004189494841684516
2026-06-10,25.0,0.56,0.76,0.04429117768159021,0.0028911226393559587,-0.0015576362994367265
2026-06-11,41.0,0.4634146341463415,0.8780487804878049,0.05280733995639448,-0.009954385156441325,0.01116124614686198
2026-06-12,26.0,0.6153846153846154,0.8846153846153846,0.019327893399910416,0.004921104368051949,0.016113069296615823
2026-06-15,125.0,0.648,0.912,0.046691153703800795,0.02142322419919577,-0.001118035772262549
2026-06-16,125.0,0.488,0.8,0.029378652802413502,0.006566384549898289,0.003956606849157662
2026-06-17,118.0,0.5677966101694916,0.8305084745762712,0.043237502296063,0.013147384962160094,-0.004284239839535742
2026-06-18,88.0,0.4318181818181818,0.8863636363636364,0.035810196363300066,0.0024194818600032668,0.01775341769181127
2026-06-22,157.0,0.267515923566879,0.6624203821656051,0.020838289651743037,-0.026454011102220423,-0.013655689270015259
2026-06-23,12.0,0.5,0.8333333333333334,0.03085709452051681,-0.0034715213533101363,0.0011105022831050526
2026-06-24,122.0,0.5491803278688525,0.9016393442622951,0.0500338893678264,0.014680909211679843,0.0023036822426723003
2026-06-25,56.0,0.23214285714285715,0.6607142857142857,0.02369664127072301,-0.028774898297743413,-0.022576135602434655
2026-06-26,12.0,0.3333333333333333,0.75,0.03547385402859191,-0.0214154701487555,0.011581074974051697
2026-06-29,41.0,0.6585365853658537,0.8292682926829268,0.03870797454779381,0.01419332942734526,0.005032033186872509
2026-06-30,85.0,0.3764705882352941,0.9294117647058824,0.039796935362462586,-0.007820443199865051,0.004408460336068787
2026-07-01,40.0,0.1,0.775,0.0196320334052804,-0.03574074918498067,-0.02031635642986529
2026-07-02,7.0,0.14285714285714285,0.7142857142857143,0.002579877573991553,-0.03296353797470302,0.0036585668544764083
2026-07-03,43.0,0.23255813953488372,0.8372093023255814,0.030641856290127664,-0.029333337645674827,-0.0005935246461109545
2026-07-06,14.0,0.0,0.42857142857142855,-0.0018717400388990374,-0.06575174963387417,-0.012619888944977231
2026-07-07,16.0,0.3125,0.5,0.021085356733509523,-0.03984916210075765,-0.004851838485905535
2026-07-08,13.0,0.46153846153846156,0.6923076923076923,0.015668633994323937,-0.007359012414734049,0.016547969215891634
2026-07-09,24.0,0.2916666666666667,0.9583333333333334,0.043342753843575554,-0.014808341519460708,-0.010015879740077671
2026-07-10,8.0,0.375,0.5,0.0077158995562822685,-0.01887549655806306,-0.020612287796284434
2026-07-13,12.0,0.3333333333333333,0.75,0.031845993856742555,-0.005670587199955668,0.013628733273885363
2026-07-14,22.0,0.36363636363636365,0.7727272727272727,0.03340232422797924,-0.014508130018082306,-0.00291142463191274
2026-07-15,17.0,0.23529411764705882,0.9411764705882353,0.017331388460084935,-0.013239124315020815,-0.018497919394880213
2026-07-16,16.0,0.0625,0.6875,0.0044335014149234075,-0.06379509945141949,-0.030460461414430706
2026-07-17,6.0,0.8333333333333334,1.0,0.06882075822726756,0.043736808841342976,0.008535791612980459
2026-07-20,27.0,0.3333333333333333,0.7037037037037037,0.013579566038397257,-0.011379748557504623,0.017935979432496918
2026-07-21,52.0,0.21153846153846154,0.5961538461538461,0.01873569108158449,-0.018953480743282534,0.0006883398846384559
2026-07-22,19.0,0.21052631578947367,0.5263157894736842,0.020266020044193117,-0.011433372700261691,0.002521314807487851
2026-07-23,18.0,0.1111111111111111,0.5,0.012718206454827864,-0.03884697119873568,-0.01614226239301697
2026-07-24,1.0,0.0,0.0,-0.05931758530183717,-0.20000000000000007,0.011548948665513148
2026-07-27,80.0,0.175,0.7,0.013845281506277115,-0.027665332491123247,-0.01164776777036225
2026-07-28,7.0,0.7142857142857143,0.8571428571428571,0.02443759337250035,-0.016965331871707155,0.003975548801435025
2026-07-29,27.0,0.3333333333333333,0.8148148148148148,0.02607030478755777,-0.015524440567225371,-0.0062113585844997266
2026-07-30,16.0,0.1875,0.8125,0.014896095939086716,-0.007830288525683501,0.007246319673876123
2026-07-31,33.0,0.3939393939393939,0.7272727272727273,0.012086767768338539,-0.006503525016851707,-0.005897303418870403
2026-08-03,64.0,0.796875,0.984375,0.029738665888623658,0.016304495555730398,0.0033126315734213208
2026-08-04,112.0,0.8303571428571429,0.9464285714285714,0.044227939148154885,0.027426493449704582,0.014690184915809423
2026-08-05,201.0,0.5970149253731343,0.8955223880597015,0.02801933735812765,0.007616784226702487,0.005651771464226574
2026-08-06,127.0,0.8818897637795275,0.9291338582677166,0.052301506805883975,0.03735309659270662,0.01017600984527034
2026-08-07,284.0,0.46830985915492956,0.9436619718309859,0.028425076419911592,0.0007034240931726881,0.0067385102689312415
2026-08-10,109.0,0.2018348623853211,0.7064220183486238,0.016273344437592884,-0.015845909387619758,-0.008193435671445704
2026-08-11,26.0,0.5,0.8076923076923077,0.02784173995510448,-0.002000581249511182,0.0032002318198107726
2026-08-12,119.0,0.2184873949579832,0.9747899159663865,0.036297417107855626,-0.017144511865504645,-0.004996604741200117
2026-08-13,7.0,0.0,0.5714285714285714,-0.0009210286200465838,-0.03911717440607073,5.602297960760616e-05
2026-08-14,93.0,0.8387096774193549,0.946236559139785,0.04720735310790818,0.036035666887718566,0.014124639053977761
2026-08-17,194.0,0.4484536082474227,0.9072164948453608,0.02633108349204936,0.001736250477638019,0.0019208316070957743
2026-08-18,55.0,0.05454545454545454,0.2727272727272727,-0.007813938145689599,-0.08448192524542858,-0.024028268551236742
2026-08-19,3.0,0.0,0.0,-0.008172169895633038,-0.054297420643372694,0.002388032107476734
2026-08-20,21.0,0.23809523809523808,0.6666666666666666,0.018167473138250973,-0.013080189867718629,0.0003791255520375625
